word,translation,explanation
하다,する,「하다」は「〜する」を意味する最も基本的な動詞で、名詞に付いて動詞化する働きもある（例：공부하다 勉強する、사랑하다 愛する）。
있다,ある / いる,「있다」は日本語の「ある」と「いる」の両方をカバーし、区別なく使われる。
것,こと / もの,「것」は修飾節の後に続く形式名詞で、単独では使えない（例：먹을 것 食べるもの）。口語では「거」と略されることが多い。
되다,なる,「되다」は「〜になる」を意味し、名詞と組み合わせて受身的な表現を作る（例：이해가 되다 理解される）。
수,数 / 方法,「수」単独では「方法・すべ」の意味で、「-(으)ㄹ 수 있다/없다」（〜できる／できない）の形でよく使われる。
나,私,「나」は親しい間柄で使うくだけた一人称代名詞。丁寧な言い方は「저」。
없다,ない / いない,「없다」は「있다」の否定形で、「ない」と「いない」の両方を表す。
않다,〜しない,「않다」は「-지」の後に付いて長い形の否定文を作る（例：가지 않다 行かない）。
사람,人,「사람」は「人」を表す固有語。漢字語の「인」は외국인（外国人）のような複合語で使われる。
우리,私たち / うち,「우리」は「私たち」の意味だが、韓国語では自分の家や家族を指すときにも単数的に使う（例：우리 집 私の家）。
그,彼 / それ,「그」単独は「その」の意味。「그 사람（その人）」の形で「彼」を表すことが多く、専用の三人称代名詞は発達していない。
이,この / これ,「이」は名詞の前に付く指示詞で「この」を意味する（例：이 사람 この人）。
아니다,ではない,「아니다」は「이다（〜だ）」の否定形で、「AはBではない」を表す。
때,時,「때」は「時・とき」を意味し、「-(으)ㄹ 때」（〜するとき）の形でよく使われる。
같다,同じだ,「같다」は「同じだ」を意味し、「처럼」や「같이」と組み合わせて比較表現によく使われる。
안,中 / なか,「안」は「内側」を意味し、「밖（外）」の反対語。同じ形で否定を表す副詞「안（〜しない）」もあるので文脈で区別する。
말,言葉 / 話,「말」は「言葉・話」を意味する固有語（例：한국말 韓国語）。
일,仕事 / 日,「일」には「仕事・事柄」と「日（にち）」の二つの意味があり、文脈で判断する。
년,年,「년」は数字の後に付く漢字語の年の助数詞（例：2020년）。
가다,行く,「가다」は規則活用の動詞だが、「가 + 아요 → 가요」のように母音融合で短くなる。
오다,来る,「오다」は「来る」を意味し、「가다」の対義語。
알다,知る,「알다」はㄹ語幹用言で、一部の語尾の前でㄹが脱落する（例：압니다、알습니다ではない）。
모르다,知らない,「모르다」は르不規則用言で、「몰라(요)」のように活用する（모르아ではない）。
생각하다,考える,名詞「생각（考え）」と「하다」が組み合わさった、よくある「名詞＋하다」動詞。
많다,多い,「많다」は数量を表す。子音の前でㅎが脱落して発音される（例：많고 [만코]）。
좋다,良い,「좋다」は「良い」を意味し、「좋아하다（好きだ）」の語根になっている。
크다,大きい,「크다」は으不規則用言で、「크 + 어 → 커」のようにㅡが脱落する（커요）。
받다,もらう,「받다」は「もらう」を意味し、「주다（あげる）」の対義語。
집,家,「집」は「家」を意味する固有語。
사회,社会,「사회」は漢字語「社会」に由来する。
잘,よく / 上手に,「잘」は「よく・上手に」を意味する副詞（例：잘하다 上手にする）。
